Date,Anomaly
194603,-1.87
194604,-1.65
194605,-0.56
194606,-0.16
194607,-1.97
194608,-2.11
194609,-2.27
194610,-2.03
194611,-0.74
194612,1.31
194701,-1.36
194702,-0.48
194703,-1.79
194704,-1.23
194705,-1.82
194706,-1.53
194707,-0.14
194708,-1
194709,-0.44
194710,-0.07
194711,-1.01
194712,1.41
194801,-0.08
194802,-1.26
194803,-2.41
194804,0.44
194805,-0.26
194806,-2.43
194807,-1.14
194808,-0.48
194809,-0.2
194810,-0.35
194811,-0.67
194812,-1.16
194901,0.2
194902,-2.33
194903,0.26
194904,-2.3
194905,-0.72
194906,0.18
194907,-0.94
194908,-0.19
194909,-0.25
194910,-0.36
194911,-0.31
194912,-1.71
195001,-0.66
195002,-2.28
195003,-1.8
195004,-0.43
195005,-1.12
195006,-0.53
195007,-2.27
195008,-1.2
195009,-1.04
195010,-1.96
195011,-1.22
195012,0.43
195101,-0.63
195102,-1.68
195103,-1.16
195104,-2.67
195105,-1.59
195106,-0.52
195107,-0.19
195108,0.39
195109,-0.75
195110,-0.52
195111,-1.73
195112,-2.42
195201,0.72
195202,-0.36
195203,-0.77
195204,-0.75
195205,-0.58
195206,-0.02
195207,0.33
195208,-0.88
195209,-1.56
195210,-1.3
195211,-0.76
195212,1.21
195301,1.44
195302,0.6
195303,-0.27
195304,-2.22
195305,-1.81
195306,-1.73
195307,-1.4
195308,-0.59
195309,-0.65
195310,-0.93
195311,-1.28
195312,-2.25
195401,-0.33
195402,1.2
195403,-0.47
195404,-1.5
195405,-1.49
195406,-1.07
195407,-1.66
195408,-1.08
195409,-0.99
195410,-1.18
195411,0.01
195412,-0.93
195501,-0.14
195502,-1.55
195503,-0.76
195504,-1.4
195505,-1.23
195506,-1.68
195507,-0.63
195508,-0.42
195509,-1.15
195510,-1.06
195511,-1.71
195512,-1.39
195601,-2.43
195602,0.12
195603,0.22
195604,-2.51
195605,-1.12
195606,-0.99
195607,-1.14
195608,-0.78
195609,-1.23
195610,-2.06
195611,-0.45
195612,-0.6
195701,-1.06
195702,-3.63
195703,-1.72
195704,-1.67
195705,-1.54
195706,-1.48
195707,-0.43
195708,-0.21
195709,-0.33
195710,-0.49
195711,0.26
195712,0.76
195801,0.5
195802,-2.43
195803,-0.35
195804,-0.04
195805,-0.77
195806,-0.96
195807,-1.21
195808,-0.47
195809,-0.37
195810,-0.67
195811,0.08
195812,0.97
195901,0
195902,-2.23
195903,-1.04
195904,-0.68
195905,-0.27
195906,-0.12
195907,0.46
195908,-0.84
195909,-1.76
195910,-1.54
195911,-0.54
195912,-0.38
196001,-0.54
196002,-0.4
196003,-0.94
196004,-0.38
196005,-0.98
196006,0.07
196007,-0.74
196008,0.6
196009,-0.58
196010,-0.4
196011,-1.02
196012,2.47
196101,1.23
196102,-2.48
196103,-1.7
196104,-0.82
196105,-0.3
196106,-0.95
196107,-1.56
196108,-1.07
196109,-0.92
196110,-0.98
196111,-2.79
196112,-2.37
196201,-2.51
196202,-1.33
196203,-0.51
196204,-1.11
196205,-1.1
196206,-1.34
