Date,Anomaly
194603,-2.22
194604,-1.29
194605,-1.59
194606,-1.87
194607,-2.15
194608,-1.89
194609,-0.24
194610,0.08
194611,0.7
194612,-0.79
194701,0.87
194702,-1.52
194703,-0.21
194704,-0.22
194705,-1.79
194706,-1.5
194707,-1
194708,-1.75
194709,-1.66
194710,-0.47
194711,0.42
194712,-0.31
194801,-0.53
194802,-0.57
194803,-3.1
194804,-2.47
194805,-1.03
194806,-1.58
194807,-1.89
194808,-1.63
194809,-1.82
194810,-3.55
194811,-0.73
194812,-0.42
194901,-2.55
194902,-4.04
194903,-1.82
194904,-3.1
194905,-1.58
194906,-1.93
194907,-2.01
194908,-2.65
194909,-2.76
194910,-2.58
194911,-0.68
194912,0.42
195001,-2.41
195002,-3.46
195003,-1.93
195004,-1.81
195005,-2.12
195006,-2.12
195007,-1.89
195008,-2.79
195009,-1.67
195010,-0.64
195011,0.52
195012,-0.52
195101,0.09
195102,-1.08
195103,-1.33
195104,-0.98
195105,-1.39
195106,-1.39
195107,-0.83
195108,-1.41
195109,-0.2
195110,-0.89
195111,-0.1
195112,-1.04
195201,-1.25
195202,0.41
195203,-0.53
195204,-1.06
195205,-1.61
195206,-2.48
195207,-1.7
195208,-1.08
195209,-1.12
195210,-1.94
195211,-0.53
195212,0.05
195301,0.45
195302,-0.15
195303,-2.2
195304,-1.31
195305,-1.3
195306,-1.77
195307,-1.23
195308,-1.49
195309,-2.56
195310,-1.18
195311,-0.58
195312,-3.39
195401,0.03
195402,-0.77
195403,-0.61
195404,-1.87
195405,-1.95
195406,-1.62
195407,-0.56
195408,-1.03
195409,-1.89
195410,-1.5
195411,0.42
195412,-1.21
195501,-0.6
195502,-0.64
195503,-1.13
195504,-0.86
195505,-2.02
195506,-1.69
195507,-1.68
195508,-2.26
195509,-2.13
195510,-1.45
195511,1.08
195512,0.21
195601,-0.85
195602,0.14
195603,-1.18
195604,-2.25
195605,-2.29
195606,-1.86
195607,-1.32
195608,-1.39
195609,-1.35
195610,-2.27
195611,-1.92
195612,-2.44
195701,-2.29
195702,-2.05
195703,-0.65
195704,-2.58
195705,-2.72
195706,-1.9
195707,-1.53
195708,-1.39
195709,-0.66
195710,-0.03
195711,-0.34
195712,-1.41
195801,-0.27
195802,-1.48
195803,1.14
195804,0.41
195805,-0.04
195806,-1.57
195807,-1.46
195808,-0.98
195809,-1.82
195810,-1.45
195811,-1.86
195812,-0.42
195901,-0.23
195902,-3.48
195903,-1.36
195904,0.08
195905,-1.9
195906,-1.51
195907,-1.87
195908,-1.89
195909,-2.54
195910,-1.14
195911,-1.78
195912,-1.6
196001,1.01
196002,1.35
196003,-1.09
196004,-0.66
196005,-0.73
196006,-0.93
196007,-1.12
196008,-1.13
196009,-1.17
196010,-2.78
196011,0.07
196012,-0.57
196101,0.01
196102,-0.75
196103,-1.6
196104,-2.08
196105,-1
196106,-1.6
196107,-1.56
196108,-0.88
196109,-2.8
196110,-2.45
196111,-1.33
196112,-0.41
196201,0.18
196202,0.2
196203,0.69
196204,-1.05
196205,-0.82
196206,-0.94
196207,-0.75
196208,-1.16
196209,-1.47
196210,-0.26
196211,-0.08
196212,1.09
196301,1.63
196302,1.97
196303,-1.38
196304,-0.79
196305,-3.59
196306,-1.83
196307,-1.1
196308,-0.86
196309,-1.18
196310,-0.22
196311,-1.47
196312,-2.12
196401,-4.58
196402,-0.99
196403,0.5
196404,-1.7
196405,-1.26
196406,-0.61
196407,-1.66
196408,-1.7
196409,-1.7
196410,-3.14
196411,-1.11
196412,-2.59
196501,-1.06
